Sno,Accession ID,Description
34,NZ_JAGIZE010000002.1,"Klebsiella pneumoniae strain CIFT_K8 contig00002, whole genome shotgun sequence."
,,
35,NZ_JAGIZE010000001.1,"Klebsiella pneumoniae strain CIFT_K8 contig00001, whole genome shotgun sequence."
,,
36,NZ_JAARMG010000002.1,"Klebsiella pneumoniae strain BA28088 2, whole genome shotgun sequence."
,,
37,NZ_JAARMG010000001.1,"Klebsiella pneumoniae strain BA28088 1, whole genome shotgun sequence."
,,
38,NZ_JAARMI010000005.1,"Klebsiella pneumoniae strain BA4393 5, whole genome shotgun sequence."
,,
39,NZ_JAARMI010000004.1,"Klebsiella pneumoniae strain BA4393 4, whole genome shotgun sequence."
,,
40,NZ_JAARMI010000003.1,"Klebsiella pneumoniae strain BA4393 3, whole genome shotgun sequence."
,,
41,NZ_JAARMI010000002.1,"Klebsiella pneumoniae strain BA4393 2, whole genome shotgun sequence."
,,
42,NZ_JAARMI010000001.1,"Klebsiella pneumoniae strain BA4393 1, whole genome shotgun sequence."
,,
43,NZ_JAARMH010000007.1,"Klebsiella pneumoniae strain BA1602 7, whole genome shotgun sequence."
,,
44,NZ_JAARMH010000006.1,"Klebsiella pneumoniae strain BA1602 6, whole genome shotgun sequence."
,,
45,NZ_JAARMH010000005.1,"Klebsiella pneumoniae strain BA1602 5, whole genome shotgun sequence."
,,
46,NZ_JAARMH010000004.1,"Klebsiella pneumoniae strain BA1602 4, whole genome shotgun sequence."
,,
47,NZ_JAARMH010000003.1,"Klebsiella pneumoniae strain BA1602 3, whole genome shotgun sequence."
,,
48,NZ_JAARMH010000002.1,"Klebsiella pneumoniae strain BA1602 2, whole genome shotgun sequence."
,,
49,NZ_JAARMH010000001.1,"Klebsiella pneumoniae strain BA1602 1, whole genome shotgun sequence."
,,
50,NZ_JAAQTH010000007.1,"Klebsiella pneumoniae strain BA36749 7, whole genome shotgun sequence."
,,
51,NZ_JAAQTH010000006.1,"Klebsiella pneumoniae strain BA36749 6, whole genome shotgun sequence."
,,
52,NZ_JAAQTH010000005.1,"Klebsiella pneumoniae strain BA36749 5, whole genome shotgun sequence."
,,
53,NZ_JAAQTH010000004.1,"Klebsiella pneumoniae strain BA36749 4, whole genome shotgun sequence."
,,
54,NZ_JAAQTH010000003.1,"Klebsiella pneumoniae strain BA36749 3, whole genome shotgun sequence."
,,
55,NZ_JAAQTH010000002.1,"Klebsiella pneumoniae strain BA36749 2, whole genome shotgun sequence."
,,
56,NZ_JAAQSU010000007.1,"Klebsiella pneumoniae strain BA11905 7, whole genome shotgun sequence."
,,
57,NZ_JAAQSU010000006.1,"Klebsiella pneumoniae strain BA11905 6, whole genome shotgun sequence."
,,
58,NZ_JAAQSU010000005.1,"Klebsiella pneumoniae strain BA11905 5, whole genome shotgun sequence."
,,
59,NZ_JAAQSU010000004.1,"Klebsiella pneumoniae strain BA11905 4, whole genome shotgun sequence."
,,
60,NZ_JAAQSU010000003.1,"Klebsiella pneumoniae strain BA11905 3, whole genome shotgun sequence."
,,
61,NZ_JAAQSU010000002.1,"Klebsiella pneumoniae strain BA11905 2, whole genome shotgun sequence."
,,
62,NZ_JAAQSU010000001.1,"Klebsiella pneumoniae strain BA11905 1, whole genome shotgun sequence."
,,
63,NZ_JAAQSI010000004.1,"Klebsiella pneumoniae strain BP11474 4, whole genome shotgun sequence."
,,
64,NZ_JAAQSI010000003.1,"Klebsiella pneumoniae strain BP11474 3, whole genome shotgun sequence."
,,
65,NZ_JAAQSI010000002.1,"Klebsiella pneumoniae strain BP11474 2, whole genome shotgun sequence."
,,
66,NZ_JAAQSI010000001.1,"Klebsiella pneumoniae strain BP11474 1, whole genome shotgun sequence."
,,
67,NZ_JAAQSV010000004.1,"Klebsiella pneumoniae strain BA12949 4, whole genome shotgun sequence."
,,
68,NZ_JAAQSV010000003.1,"Klebsiella pneumoniae strain BA12949 3, whole genome shotgun sequence."
,,
69,NZ_JAAQSV010000002.1,"Klebsiella pneumoniae strain BA12949 2, whole genome shotgun sequence."
,,
70,NZ_JAAQSV010000001.1,"Klebsiella pneumoniae strain BA12949 1, whole genome shotgun sequence."
,,
71,NZ_JAAQTE010000007.1,"Klebsiella pneumoniae strain BA3635 7, whole genome shotgun sequence."
,,
72,NZ_JAAQTE010000006.1,"Klebsiella pneumoniae strain BA3635 6, whole genome shotgun sequence."
,,
73,NZ_JAAQTE010000005.1,"Klebsiella pneumoniae strain BA3635 5, whole genome shotgun sequence."
,,
74,NZ_JAAQTE010000004.1,"Klebsiella pneumoniae strain BA3635 4, whole genome shotgun sequence."
,,
75,NZ_JAAQTE010000003.1,"Klebsiella pneumoniae strain BA3635 3, whole genome shotgun sequence."
,,
76,NZ_JAAQTE010000002.1,"Klebsiella pneumoniae strain BA3635 2, whole genome shotgun sequence."
,,
77,NZ_JAAQTE010000001.1,"Klebsiella pneumoniae strain BA3635 1, whole genome shotgun sequence."
,,
78,NZ_JAAQTK010000007.1,"Klebsiella pneumoniae strain BA39950 7, whole genome shotgun sequence."
,,
79,NZ_JAAQTK010000006.1,"Klebsiella pneumoniae strain BA39950 6, whole genome shotgun sequence."
,,
80,NZ_JAAQTK010000005.1,"Klebsiella pneumoniae strain BA39950 5, whole genome shotgun sequence."
,,
81,NZ_JAAQTK010000004.1,"Klebsiella pneumoniae strain BA39950 4, whole genome shotgun sequence."
,,
82,NZ_JAAQTK010000003.1,"Klebsiella pneumoniae strain BA39950 3, whole genome shotgun sequence."
,,
83,NZ_JAAQTK010000002.1,"Klebsiella pneumoniae strain BA39950 2, whole genome shotgun sequence."
,,
84,NZ_JAAQTK010000001.1,"Klebsiella pneumoniae strain BA39950 1, whole genome shotgun sequence."
,,
85,NZ_JAAQTC010000006.1,"Klebsiella pneumoniae strain BA25425 6, whole genome shotgun sequence."
,,
86,NZ_JAAQTC010000005.1,"Klebsiella pneumoniae strain BA25425 5, whole genome shotgun sequence."
,,
87,NZ_JAAQTC010000004.1,"Klebsiella pneumoniae strain BA25425 4, whole genome shotgun sequence."
,,
88,NZ_JAAQTC010000003.1,"Klebsiella pneumoniae strain BA25425 3, whole genome shotgun sequence."
,,
89,NZ_JAAQTC010000002.1,"Klebsiella pneumoniae strain BA25425 2, whole genome shotgun sequence."
,,
90,NZ_JAAQTC010000001.1,"Klebsiella pneumoniae strain BA25425 1, whole genome shotgun sequence."
,,
91,NZ_JAAQSG010000006.1,"Klebsiella pneumoniae strain BA28118 6, whole genome shotgun sequence."
,,
92,NZ_JAAQSG010000005.1,"Klebsiella pneumoniae strain BA28118 5, whole genome shotgun sequence."
,,
93,NZ_JAAQSG010000004.1,"Klebsiella pneumoniae strain BA28118 4, whole genome shotgun sequence."
,,
94,NZ_JAAQSG010000003.1,"Klebsiella pneumoniae strain BA28118 3, whole genome shotgun sequence."
,,
95,NZ_JAAQSG010000002.1,"Klebsiella pneumoniae strain BA28118 2, whole genome shotgun sequence."
,,
96,NZ_JAAQSG010000001.1,"Klebsiella pneumoniae strain BA28118 1, whole genome shotgun sequence."
,,
97,NZ_JAAQSJ010000007.1,"Klebsiella pneumoniae strain BA18029 7, whole genome shotgun sequence."
,,
98,NZ_JAAQSJ010000006.1,"Klebsiella pneumoniae strain BA18029 6, whole genome shotgun sequence."
,,
99,NZ_JAAQSJ010000005.1,"Klebsiella pneumoniae strain BA18029 5, whole genome shotgun sequence."
,,
100,NZ_JAAQSJ010000004.1,"Klebsiella pneumoniae strain BA18029 4, whole genome shotgun sequence."
,,
101,NZ_JAAQSJ010000003.1,"Klebsiella pneumoniae strain BA18029 3, whole genome shotgun sequence."
,,
102,NZ_JAAQSJ010000002.1,"Klebsiella pneumoniae strain BA18029 2, whole genome shotgun sequence."
,,
103,NZ_JAAQSJ010000001.1,"Klebsiella pneumoniae strain BA18029 1, whole genome shotgun sequence."
,,
104,NZ_JAAQTF010000008.1,"Klebsiella pneumoniae strain BA6378 8, whole genome shotgun sequence."
,,
105,NZ_JAAQTF010000007.1,"Klebsiella pneumoniae strain BA6378 7, whole genome shotgun sequence."
,,
106,NZ_JAAQTF010000006.1,"Klebsiella pneumoniae strain BA6378 6, whole genome shotgun sequence."
,,
107,NZ_JAAQTF010000005.1,"Klebsiella pneumoniae strain BA6378 5, whole genome shotgun sequence."
,,
108,NZ_JAAQTF010000004.1,"Klebsiella pneumoniae strain BA6378 4, whole genome shotgun sequence."
,,
109,NZ_JAAQTF010000003.1,"Klebsiella pneumoniae strain BA6378 3, whole genome shotgun sequence."
,,
110,NZ_JAAQTF010000002.1,"Klebsiella pneumoniae strain BA6378 2, whole genome shotgun sequence."
,,
111,NZ_JAAQTF010000001.1,"Klebsiella pneumoniae strain BA6378 1, whole genome shotgun sequence."
,,
112,NZ_JAAQSN010000004.1,"Klebsiella pneumoniae strain BA6464 4, whole genome shotgun sequence."
,,
113,NZ_JAAQSN010000003.1,"Klebsiella pneumoniae strain BA6464 3, whole genome shotgun sequence."
,,
114,NZ_JAAQSN010000002.1,"Klebsiella pneumoniae strain BA6464 2, whole genome shotgun sequence."
,,
115,NZ_JAAQSN010000001.1,"Klebsiella pneumoniae strain BA6464 1, whole genome shotgun sequence."
,,
116,NZ_JAAQSP010000003.1,"Klebsiella pneumoniae strain BP1722 3, whole genome shotgun sequence."
,,
117,NZ_JAAQSP010000002.1,"Klebsiella pneumoniae strain BP1722 2, whole genome shotgun sequence."
,,
118,NZ_JAAQSP010000001.1,"Klebsiella pneumoniae strain BP1722 1, whole genome shotgun sequence."
,,
119,NZ_JAAQSZ010000005.1,"Klebsiella pneumoniae strain BA20978 5, whole genome shotgun sequence."
,,
120,NZ_JAAQSZ010000004.1,"Klebsiella pneumoniae strain BA20978 4, whole genome shotgun sequence."
,,
121,NZ_JAAQSZ010000003.1,"Klebsiella pneumoniae strain BA20978 3, whole genome shotgun sequence."
,,
122,NZ_JAAQSZ010000002.1,"Klebsiella pneumoniae strain BA20978 2, whole genome shotgun sequence."
,,
123,NZ_JAAQSZ010000001.1,"Klebsiella pneumoniae strain BA20978 1, whole genome shotgun sequence."
,,
124,NZ_JAAQSW010000006.1,"Klebsiella pneumoniae strain BA4439 6, whole genome shotgun sequence."
,,
125,NZ_JAAQSW010000005.1,"Klebsiella pneumoniae strain BA4439 5, whole genome shotgun sequence."
,,
126,NZ_JAAQSW010000004.1,"Klebsiella pneumoniae strain BA4439 4, whole genome shotgun sequence."
,,
127,NZ_JAAQSW010000003.1,"Klebsiella pneumoniae strain BA4439 3, whole genome shotgun sequence."
,,
128,NZ_JAAQSW010000002.1,"Klebsiella pneumoniae strain BA4439 2, whole genome shotgun sequence."
,,
129,NZ_JAAQSW010000001.1,"Klebsiella pneumoniae strain BA4439 1, whole genome shotgun sequence."
,,
130,NZ_JAAQTA010000004.1,"Klebsiella pneumoniae strain BP10616 4, whole genome shotgun sequence."
,,
131,NZ_JAAQTA010000003.1,"Klebsiella pneumoniae strain BP10616 3, whole genome shotgun sequence."
,,
132,NZ_JAAQSF010000006.1,"Klebsiella pneumoniae strain BA36541 6, whole genome shotgun sequence."
,,
133,NZ_JAAQTA010000002.1,"Klebsiella pneumoniae strain BP10616 2, whole genome shotgun sequence."
,,
134,NZ_JAAQSF010000005.1,"Klebsiella pneumoniae strain BA36541 5, whole genome shotgun sequence."
,,
135,NZ_JAAQTA010000001.1,"Klebsiella pneumoniae strain BP10616 1, whole genome shotgun sequence."
,,
136,NZ_JAAQSF010000004.1,"Klebsiella pneumoniae strain BA36541 4, whole genome shotgun sequence."
,,
137,NZ_JAAQSF010000003.1,"Klebsiella pneumoniae strain BA36541 3, whole genome shotgun sequence."
,,
138,NZ_JAAQSF010000002.1,"Klebsiella pneumoniae strain BA36541 2, whole genome shotgun sequence."
,,
139,NZ_JAAQSF010000001.1,"Klebsiella pneumoniae strain BA36541 1, whole genome shotgun sequence."
,,
140,NZ_JAAQSS010000006.1,"Klebsiella pneumoniae strain BA10334 6, whole genome shotgun sequence."
,,
141,NZ_JAAQSS010000005.1,"Klebsiella pneumoniae strain BA10334 5, whole genome shotgun sequence."
,,
142,NZ_JAAQSS010000004.1,"Klebsiella pneumoniae strain BA10334 4, whole genome shotgun sequence."
,,
143,NZ_JAAQSS010000003.1,"Klebsiella pneumoniae strain BA10334 3, whole genome shotgun sequence."
,,
144,NZ_JAAQSS010000002.1,"Klebsiella pneumoniae strain BA10334 2, whole genome shotgun sequence."
,,
145,NZ_JAAQSS010000001.1,"Klebsiella pneumoniae strain BA10334 1, whole genome shotgun sequence."
,,
146,NZ_JAAQSD010000008.1,"Klebsiella pneumoniae strain BA37787 8, whole genome shotgun sequence."
,,
147,NZ_JAAQSD010000007.1,"Klebsiella pneumoniae strain BA37787 7, whole genome shotgun sequence."
,,
148,NZ_JAAQSD010000006.1,"Klebsiella pneumoniae strain BA37787 6, whole genome shotgun sequence."
,,
149,NZ_JAAQSD010000005.1,"Klebsiella pneumoniae strain BA37787 5, whole genome shotgun sequence."
,,
150,NZ_JAAQSD010000004.1,"Klebsiella pneumoniae strain BA37787 4, whole genome shotgun sequence."
,,
151,NZ_JAAQSD010000003.1,"Klebsiella pneumoniae strain BA37787 3, whole genome shotgun sequence."
,,
152,NZ_JAAQSD010000002.1,"Klebsiella pneumoniae strain BA37787 2, whole genome shotgun sequence."
,,
153,NZ_JAAQSD010000001.1,"Klebsiella pneumoniae strain BA37787 1, whole genome shotgun sequence."
,,
154,NZ_JAAQTI010000008.1,"Klebsiella pneumoniae strain BA39824 8, whole genome shotgun sequence."
,,
155,NZ_JAAQTI010000007.1,"Klebsiella pneumoniae strain BA39824 7, whole genome shotgun sequence."
,,
156,NZ_JAAQTI010000006.1,"Klebsiella pneumoniae strain BA39824 6, whole genome shotgun sequence."
,,
157,NZ_JAAQTI010000005.1,"Klebsiella pneumoniae strain BA39824 5, whole genome shotgun sequence."
,,
158,NZ_JAAQTI010000004.1,"Klebsiella pneumoniae strain BA39824 4, whole genome shotgun sequence."
,,
159,NZ_JAAQTI010000003.1,"Klebsiella pneumoniae strain BA39824 3, whole genome shotgun sequence."
,,
160,NZ_JAAQTI010000002.1,"Klebsiella pneumoniae strain BA39824 2, whole genome shotgun sequence."
,,
161,NZ_JAAQTJ010000007.1,"Klebsiella pneumoniae strain BP19451 7, whole genome shotgun sequence."
,,
162,NZ_JAAQTJ010000006.1,"Klebsiella pneumoniae strain BP19451 6, whole genome shotgun sequence."
,,
163,NZ_JAAQTJ010000005.1,"Klebsiella pneumoniae strain BP19451 5, whole genome shotgun sequence."
,,
164,NZ_JAAQTJ010000004.1,"Klebsiella pneumoniae strain BP19451 4, whole genome shotgun sequence."
,,
165,NZ_JAAQTJ010000003.1,"Klebsiella pneumoniae strain BP19451 3, whole genome shotgun sequence."
,,
166,NZ_JAAQTJ010000002.1,"Klebsiella pneumoniae strain BP19451 2, whole genome shotgun sequence."
,,
167,NZ_JAAQTJ010000001.1,"Klebsiella pneumoniae strain BP19451 1, whole genome shotgun sequence."
,,
168,NZ_JAAQSK010000006.1,"Klebsiella pneumoniae strain BA17341 6, whole genome shotgun sequence."
,,
169,NZ_JAAQSK010000005.1,"Klebsiella pneumoniae strain BA17341 5, whole genome shotgun sequence."
,,
170,NZ_JAAQSK010000004.1,"Klebsiella pneumoniae strain BA17341 4, whole genome shotgun sequence."
,,
171,NZ_JAAQSK010000003.1,"Klebsiella pneumoniae strain BA17341 3, whole genome shotgun sequence."
,,
172,NZ_JAAQTB010000004.1,"Klebsiella pneumoniae strain BA24670 4, whole genome shotgun sequence."
,,
173,NZ_JAAQTB010000003.1,"Klebsiella pneumoniae strain BA24670 3, whole genome shotgun sequence."
,,
174,NZ_JAAQTB010000002.1,"Klebsiella pneumoniae strain BA24670 2, whole genome shotgun sequence."
,,
175,NZ_JAAQTB010000001.1,"Klebsiella pneumoniae strain BA24670 1, whole genome shotgun sequence."
,,
176,NZ_JAAQSY010000007.1,"Klebsiella pneumoniae strain BA18015 7, whole genome shotgun sequence."
,,
177,NZ_JAAQSY010000006.1,"Klebsiella pneumoniae strain BA18015 6, whole genome shotgun sequence."
,,
178,NZ_JAAQSY010000005.1,"Klebsiella pneumoniae strain BA18015 5, whole genome shotgun sequence."
,,
179,NZ_JAAQSY010000004.1,"Klebsiella pneumoniae strain BA18015 4, whole genome shotgun sequence."
,,
180,NZ_JAAQSY010000003.1,"Klebsiella pneumoniae strain BA18015 3, whole genome shotgun sequence."
,,
181,NZ_JAAQSY010000002.1,"Klebsiella pneumoniae strain BA18015 2, whole genome shotgun sequence."
,,
182,NZ_JAAQSY010000001.1,"Klebsiella pneumoniae strain BA18015 1, whole genome shotgun sequence."
,,
183,NZ_JAAQST010000004.1,"Klebsiella pneumoniae strain BP5065 4, whole genome shotgun sequence."
,,
184,NZ_JAAQST010000003.1,"Klebsiella pneumoniae strain BP5065 3, whole genome shotgun sequence."
,,
185,NZ_JAAQST010000002.1,"Klebsiella pneumoniae strain BP5065 2, whole genome shotgun sequence."
,,
186,NZ_JAAQST010000001.1,"Klebsiella pneumoniae strain BP5065 1, whole genome shotgun sequence."
,,
187,NZ_JAAQSQ010000007.1,"Klebsiella pneumoniae strain BA6008 7, whole genome shotgun sequence."
,,
188,NZ_JAAQSQ010000006.1,"Klebsiella pneumoniae strain BA6008 6, whole genome shotgun sequence."
,,
189,NZ_JAAQSQ010000005.1,"Klebsiella pneumoniae strain BA6008 5, whole genome shotgun sequence."
,,
190,NZ_JAAQSQ010000004.1,"Klebsiella pneumoniae strain BA6008 4, whole genome shotgun sequence."
,,
191,NZ_JAAQSQ010000003.1,"Klebsiella pneumoniae strain BA6008 3, whole genome shotgun sequence."
,,
192,NZ_JAAQSQ010000002.1,"Klebsiella pneumoniae strain BA6008 2, whole genome shotgun sequence."
,,
193,NZ_JAAQSQ010000001.1,"Klebsiella pneumoniae strain BA6008 1, whole genome shotgun sequence."
,,
194,NZ_JAAQSC010000008.1,"Klebsiella pneumoniae strain BP19430 8, whole genome shotgun sequence."
,,
195,NZ_JAAQSC010000007.1,"Klebsiella pneumoniae strain BP19430 7, whole genome shotgun sequence."
,,
196,NZ_JAAQSC010000006.1,"Klebsiella pneumoniae strain BP19430 6, whole genome shotgun sequence."
,,
197,NZ_JAAQSC010000005.1,"Klebsiella pneumoniae strain BP19430 5, whole genome shotgun sequence."
,,
198,NZ_JAAQSC010000004.1,"Klebsiella pneumoniae strain BP19430 4, whole genome shotgun sequence."
,,
199,NZ_JAAQSC010000003.1,"Klebsiella pneumoniae strain BP19430 3, whole genome shotgun sequence."
,,
200,NZ_JAAQSC010000002.1,"Klebsiella pneumoniae strain BP19430 2, whole genome shotgun sequence."
,,
201,NZ_JAAQSM010000007.1,"Klebsiella pneumoniae strain BA9344 7, whole genome shotgun sequence."
,,
202,NZ_JAAQSM010000006.1,"Klebsiella pneumoniae strain BA9344 6, whole genome shotgun sequence."
,,
203,NZ_JAAQSM010000005.1,"Klebsiella pneumoniae strain BA9344 5, whole genome shotgun sequence."
,,
204,NZ_JAAQSM010000004.1,"Klebsiella pneumoniae strain BA9344 4, whole genome shotgun sequence."
,,
205,NZ_JAAQSM010000003.1,"Klebsiella pneumoniae strain BA9344 3, whole genome shotgun sequence."
,,
206,NZ_JAAQSM010000002.1,"Klebsiella pneumoniae strain BA9344 2, whole genome shotgun sequence."
,,
207,NZ_JAAQSM010000001.1,"Klebsiella pneumoniae strain BA9344 1, whole genome shotgun sequence."
,,
208,NZ_JAAQSX010000007.1,"Klebsiella pneumoniae strain BA17989 7, whole genome shotgun sequence."
,,
209,NZ_JAAQSX010000006.1,"Klebsiella pneumoniae strain BA17989 6, whole genome shotgun sequence."
,,
210,NZ_JAAQSX010000005.1,"Klebsiella pneumoniae strain BA17989 5, whole genome shotgun sequence."
,,
211,NZ_JAAQSX010000004.1,"Klebsiella pneumoniae strain BA17989 4, whole genome shotgun sequence."
,,
212,NZ_JAAQSX010000003.1,"Klebsiella pneumoniae strain BA17989 3, whole genome shotgun sequence."
,,
213,NZ_JAAQSX010000002.1,"Klebsiella pneumoniae strain BA17989 2, whole genome shotgun sequence."
,,
214,NZ_JAAQSX010000001.1,"Klebsiella pneumoniae strain BA17989 1, whole genome shotgun sequence."
,,
215,NZ_JAAQSB010000008.1,"Klebsiella pneumoniae strain BA39576 8, whole genome shotgun sequence."
,,
216,NZ_JAAQSB010000007.1,"Klebsiella pneumoniae strain BA39576 7, whole genome shotgun sequence."
,,
217,NZ_JAAQSB010000006.1,"Klebsiella pneumoniae strain BA39576 6, whole genome shotgun sequence."
,,
218,NZ_JAAQSB010000005.1,"Klebsiella pneumoniae strain BA39576 5, whole genome shotgun sequence."
,,
219,NZ_JAAQSB010000004.1,"Klebsiella pneumoniae strain BA39576 4, whole genome shotgun sequence."
,,
220,NZ_JAAQSB010000003.1,"Klebsiella pneumoniae strain BA39576 3, whole genome shotgun sequence."
,,
221,NZ_JAAQSB010000002.1,"Klebsiella pneumoniae strain BA39576 2, whole genome shotgun sequence."
,,
222,NZ_JAAQSB010000001.1,"Klebsiella pneumoniae strain BA39576 1, whole genome shotgun sequence."
,,
223,NZ_JAAQSE010000004.1,"Klebsiella pneumoniae strain BA37082 4, whole genome shotgun sequence."
,,
224,NZ_JAAQSE010000003.1,"Klebsiella pneumoniae strain BA37082 3, whole genome shotgun sequence."
,,
225,NZ_JAAQSE010000002.1,"Klebsiella pneumoniae strain BA37082 2, whole genome shotgun sequence."
,,
226,NZ_JAAQSE010000001.1,"Klebsiella pneumoniae strain BA37082 1, whole genome shotgun sequence."
,,
227,NZ_JAAQTD010000006.1,"Klebsiella pneumoniae strain BA25665 6, whole genome shotgun sequence."
,,
228,NZ_JAAQTD010000005.1,"Klebsiella pneumoniae strain BA25665 5, whole genome shotgun sequence."
,,
229,NZ_JAAQTD010000004.1,"Klebsiella pneumoniae strain BA25665 4, whole genome shotgun sequence."
,,
230,NZ_JAAQTD010000003.1,"Klebsiella pneumoniae strain BA25665 3, whole genome shotgun sequence."
,,
231,NZ_JAAQTD010000002.1,"Klebsiella pneumoniae strain BA25665 2, whole genome shotgun sequence."
,,
232,NZ_JAAQTD010000001.1,"Klebsiella pneumoniae strain BA25665 1, whole genome shotgun sequence."
,,
233,NZ_JACWHM010000005.1,"Klebsiella pneumoniae strain BA9984 5, whole genome shotgun sequence."
,,
234,NZ_JACWHM010000004.1,"Klebsiella pneumoniae strain BA9984 4, whole genome shotgun sequence."
,,
235,NZ_JACWHM010000003.1,"Klebsiella pneumoniae strain BA9984 3, whole genome shotgun sequence."
,,
236,NZ_JACWHM010000002.1,"Klebsiella pneumoniae strain BA9984 2, whole genome shotgun sequence."
,,
237,NZ_JACWHM010000001.1,"Klebsiella pneumoniae strain BA9984 1, whole genome shotgun sequence."
,,
238,NZ_JACWMV010000006.1,"Klebsiella pneumoniae strain BA27458 6, whole genome shotgun sequence."
,,
239,NZ_JACWMV010000005.1,"Klebsiella pneumoniae strain BA27458 5, whole genome shotgun sequence."
,,
240,NZ_JACWMV010000004.1,"Klebsiella pneumoniae strain BA27458 4, whole genome shotgun sequence."
,,
241,NZ_JACWMV010000003.1,"Klebsiella pneumoniae strain BA27458 3, whole genome shotgun sequence."
,,
242,NZ_JACWMV010000002.1,"Klebsiella pneumoniae strain BA27458 2, whole genome shotgun sequence."
,,
243,NZ_JACWMV010000001.1,"Klebsiella pneumoniae strain BA27458 1, whole genome shotgun sequence."
,,
244,NZ_JACWMU010000004.1,"Klebsiella pneumoniae strain FF2295 4, whole genome shotgun sequence."
,,
245,NZ_JACWMU010000003.1,"Klebsiella pneumoniae strain FF2295 3, whole genome shotgun sequence."
,,
246,NZ_JACWMU010000002.1,"Klebsiella pneumoniae strain FF2295 2, whole genome shotgun sequence."
,,
